Gene,baseMean,log2FoldChange,pvalue,padj
PRAME|23532,13.69913704,12.52874193,6.0698510173313E-08,4.57349047942591E-07
HOXD13|3239,253.2891968,12.3571537,2.93456867318016E-15,8.76236766826193E-14
HOXD10|3236,222.9870513,12.23241419,5.23022106345803E-18,2.50336809163876E-16
HOXA5|3202,187.1749725,11.98241763,3.41728300814921E-19,1.93301970510821E-17
ADAMDEC1|27299,160.861013,11.66758478,9.87658216907039E-16,3.23995567107481E-14
C6orf15|29113,150.1119541,11.58519935,3.29536427486533E-09,3.21797786472908E-08
HOXA2|3199,145.0161589,11.48668929,1.73717092551271E-14,4.52203643484679E-13
HOXA7|3204,611.8629963,11.28982527,1.12221338043297E-19,6.93794035101654E-18
SEPT14|346288,45.77018269,10.90343509,6.60690869064627E-06,3.18442433118131E-05
LOC100271831|100271831,83.30412708,10.67334971,4.69412883529958E-17,1.93886619066582E-15
HOXC10|3226,387.7199316,10.57777892,1.31464208590183E-16,5.01148837845068E-15
HOXC11|3227,80.35003273,10.43090897,1.04332237110462E-10,1.38886440415714E-09
SIX6|4990,52.05009643,10.34019899,1.14607868942641E-06,6.5038869786249E-06
HOXA11|3207,71.67755561,10.32831862,1.89494346531999E-12,3.4613223960755E-11
HOXC8|3224,62.1634199,10.09388622,5.79044991753698E-12,9.66193671793865E-11
HOXB8|3218,57.97922527,9.919864818,6.11766040639762E-07,3.67405439106875E-06
NKX2-5|1482,231.7431147,9.846582714,3.92776977619795E-16,1.3800136832984E-14
HOXD9|3235,196.5151202,9.678418129,4.89333017920742E-16,1.67949191862512E-14
GPR128|84873,13.52483714,9.518023645,2.02364940212159E-05,8.73834191124321E-05
TFAP2B|7021,40.42552628,9.498435378,2.56657047011607E-07,1.67591664854668E-06
HOXD11|3237,165.1979339,9.371901572,1.20749620680968E-14,3.2214929921372E-13
LBP|3929,26.53557818,9.138996855,5.38289187041169E-06,2.65891424554087E-05
SAA1|6288,1134.495744,9.08438898,5.38097632359332E-13,1.07558188917919E-11
HOXA10|3206,433.1544805,9.03086864,4.07142399559552E-19,2.28295632125122E-17
HOXC5|3222,31.6768552,9.007658833,5.43942099555069E-11,7.60297040457806E-10
CAPN6|827,55.17848901,9.000447629,2.48531793572553E-05,0.000105199248764998
HOXA4|3201,318.2866688,8.91953946,1.76099355869274E-14,4.56556515505703E-13
HOXA3|3200,205.4544002,8.883827691,7.64751762774594E-15,2.12248874131786E-13
HOXC13|3229,120.6963167,8.789251733,3.67562660698134E-10,4.37379158680216E-09
MMP13|4322,39.56918642,8.782489502,0.000143011577788146,0.00050699325931916
HOXA6|3203,25.07082716,8.6096552,3.37880186327506E-10,4.05561351217876E-09
HOXB4|3214,186.1669517,8.581358868,1.58590219191381E-11,2.44137808298687E-10
MNX1|3110,28.80347574,8.571058652,4.29824794235725E-07,2.66759667181882E-06
HOTAIR|100124700,105.5260104,8.532651985,2.98310528094168E-10,3.63494110954416E-09
SHOX2|6474,472.9562099,8.455556049,1.38584485627885E-27,2.67315614327627E-25
EN1|2019,287.6746112,8.410592184,7.57354328364377E-17,3.07549634522536E-15
PITX1|5307,223.8723615,8.396617476,8.7598958495165E-14,2.02813651991454E-12
HOXA9|3205,97.73174643,8.395496452,1.92724770284682E-10,2.43768399607949E-09
LTF|4057,22478.55527,8.370802372,8.76906971646394E-14,2.02813651991454E-12
MYBL2|4605,1614.514511,8.315375017,5.21046576452517E-49,1.00504674131926E-45
SAA2|6289,392.047688,8.24871973,6.19000530401394E-10,7.05667921448729E-09
DLGAP5|9787,460.8432153,8.115838432,5.24084457147345E-36,2.7321797551122E-33
BPIL1|80341,22.10124602,8.08211966,1.9066083196084E-06,1.03477109625757E-05
GATA4|2626,61.82729705,8.037454011,2.36516697716747E-08,1.9596952672931E-07
TBX5|6910,155.8398039,8.015446599,1.49231235703645E-07,1.02694302728777E-06
HAND2|9464,125.7934871,7.999107321,1.51924750111534E-10,1.95756613553867E-09
CAMP|820,10.68154187,7.974633381,0.00031145100552093,0.00101685484859398
UBE2C|11065,1319.279716,7.955218447,8.59331394116286E-53,2.76260721018484E-49
HOXD8|3234,221.5801208,7.954961834,9.94644003731308E-14,2.27318580426223E-12
