Gene,Cox_coefficient,Raw_p-value,BH-adjusted_p-value,Median_Expression,Mean_Expression
PTPRN,0.523,2.60E-06,0.043784,485.8328,806.9824219
ZIC3,-0.3822,4.20E-05,0.3368,20.2578,29.24161013
PTPRN2,0.3773,9.20E-05,0.3368,1351.6895,1547.933266
OS9,0.3944,9.50E-05,0.3368,6624.2323,14460.44293
NRXN3,0.3798,1.00E-04,0.3368,101.8836,168.0271837
CHRM5,0.3556,2.60E-04,0.53888,3.0229,4.665034967
HPCAL1,0.3306,0.00034,0.53888,779.9384,851.462049
CDC73,-0.3378,0.00036,0.53888,1055.2571,1067.875634
FAM174A,0.3703,0.00037,0.53888,247.0602,253.653698
EN2,0.3433,0.00039,0.53888,81.448,112.8919294
ANK1,0.3875,0.0004,0.53888,62.2848,91.36370196
NKX3-1,0.3776,0.00051,0.53888,34.7631,42.95760556
SLC6A6,0.3502,0.00053,0.53888,425.4152,578.2252265
RCOR3,-0.321,0.00055,0.53888,820.4762,848.6281624
AGAP2-AS1,0.3428,0.00058,0.53888,295.8794,712.2667575
ETNK2,0.3367,0.0006,0.53888,326.6745,768.9765186
TRNP1,0.3681,6.10E-04,0.53888,166.35605,238.1381052
TSPAN13,0.3545,0.00061,0.53888,1290.8317,1388.174769
COL22A1,0.3107,0.00064,0.53888,275.3493,476.6981572
QARS,-0.3416,6.40E-04,0.53888,2178.6121,2211.1784
MIR31HG,0.3632,7.00E-04,0.550538462,4.1797,15.68588333
PXN,0.341,0.00073,0.550538462,2048.4124,2178.836308
SERPINE2,0.319,7.80E-04,0.550538462,3855.2467,4330.032447
NACAD,0.3156,0.0008,0.550538462,1349.6303,1479.73814
RNF10,0.3284,8.90E-04,0.550538462,3155.7093,3156.551228
ZNF432,-0.2892,0.00094,0.550538462,174.8988,184.2194876
FOXP3,0.2967,0.001,0.550538462,8.1218,11.01642484
NELL1,0.3143,0.001,0.550538462,12.4585,55.34925817
SCML4,0.3301,0.001,0.550538462,7.2953,13.47763301
SEMA4F,0.3308,0.001,0.550538462,291.0349,322.7457196
LMO7,0.3259,1.20E-03,0.550538462,215.6863,242.0693592
OSMR,0.315,0.0012,0.550538462,836.5001,986.2772183
ZNF799,-0.3163,0.0012,0.550538462,81.9521,87.85688203
B3GALNT2,-0.2844,1.30E-03,0.550538462,477.6392,498.7568706
PGBD5,0.3021,0.0013,0.550538462,391.1115,466.7899029
PMS1,-0.2931,0.0013,0.550538462,354.4358,364.344799
SLC45A1,0.29236,0.0013,0.550538462,237.7763,245.2827376
SLC46A2,0.3224,1.30E-03,0.550538462,5.0221,6.239664706
ZKSCAN4,-0.2895,0.0013,0.550538462,149.234,150.5450023
CPPED1,0.2979,0.0014,0.550538462,342.277,362.749833
CCDC64,0.3078,0.0015,0.550538462,29.7056,47.79919379
CCM2,0.3027,0.0015,0.550538462,1201.5066,1259.315371
TMEM191A,0.3617,0.0015,0.550538462,3.3807,4.569430719
ANGPTL7,0.3217,0.0016,0.550538462,1.0599,7.064730065
DKK3,0.3073,0.0016,0.550538462,5683.8906,6478.600742
CTDSPL2,-0.3382,0.0017,0.550538462,677.7987,693.5300709
DEFA1B,0.3109,0.0017,0.550538462,3.4331,44.33513954
HPS1,0.3195,0.0017,0.550538462,655.2211,700.6878049
MIER1,-0.28314,0.0017,0.550538462,755.5258,819.05775
MYBPC2,0.339,0.0017,0.550538462,1.4368,5.152833007
SLC9A7,0.3285,0.0017,0.550538462,63.852,71.96223464
